featureid	state	dot_district	county	town
201474918	Vermont	1	Windham	Somerset
201474901	Vermont	1	Windham	Somerset
201474989	Vermont	1	Windham	Somerset
201474969	Vermont	1	Bennington	Glastenbury
201474932	Vermont	1	Windham	Somerset
201474933	Vermont	1	Windham	Somerset
201475035	Vermont	1	Windham	Glastenbury
201475035	Vermont	1	Windham	Somerset
201475035	Vermont	1	Bennington	Glastenbury
201475035	Vermont	1	Bennington	Somerset
201474926	Vermont	1	Windham	Somerset
201474954	Vermont	1	Bennington	Glastenbury
201474966	Vermont	1	Windham	Somerset
201475047	Vermont	1	Windham	Dover
201474988	Vermont	1	Windham	Glastenbury
201474988	Vermont	1	Windham	Somerset
201474988	Vermont	1	Bennington	Glastenbury
201474988	Vermont	1	Bennington	Somerset
201475064	Vermont	1	Windham	Somerset
201475058	Vermont	1	Windham	Somerset
201474980	Vermont	1	Bennington	Glastenbury
201475007	Vermont	1	Bennington	Glastenbury
201475118	Vermont	1	Windham	Somerset
201475063	Vermont	1	Windham	Somerset
201475273	Vermont	1	Windham	Dover
201475273	Vermont	1	Windham	Wilmington
201475048	Vermont	1	Windham	Dover
201475023	Vermont	1	Bennington	Glastenbury
201475045	Vermont	1	Bennington	Glastenbury
201475065	Vermont	1	Windham	Dover
201475418	Vermont	1	Windham	Glastenbury
201475418	Vermont	1	Windham	Somerset
201475418	Vermont	1	Bennington	Glastenbury
201475418	Vermont	1	Bennington	Somerset
201475117	Vermont	1	Windham	Glastenbury
201475117	Vermont	1	Windham	Somerset
201475117	Vermont	1	Bennington	Glastenbury
201475117	Vermont	1	Bennington	Somerset
201475272	Vermont	1	Windham	Dover
201475272	Vermont	1	Windham	Wilmington
201475317	Vermont	1	Windham	Dover
201475317	Vermont	1	Windham	Wilmington
201475329	Vermont	1	Windham	Somerset
201475230	Vermont	1	Windham	Glastenbury
201475230	Vermont	1	Windham	Somerset
201475230	Vermont	1	Bennington	Glastenbury
201475230	Vermont	1	Bennington	Somerset
201475331	Vermont	1	Windham	Somerset
201475331	Vermont	1	Windham	Dover
201475331	Vermont	1	Windham	Wilmington
201475324	Vermont	1	Windham	Somerset
201475316	Vermont	1	Windham	Somerset
201475373	Vermont	1	Windham	Glastenbury
201475373	Vermont	1	Windham	Somerset
201475373	Vermont	1	Bennington	Glastenbury
201475373	Vermont	1	Bennington	Somerset
201475299	Vermont	1	Windham	Dover
201475299	Vermont	1	Windham	Wilmington
201475340	Vermont	1	Windham	Dover
201475340	Vermont	1	Windham	Wilmington
201475451	Vermont	1	Windham	Somerset
201475451	Vermont	1	Windham	Dover
201475451	Vermont	1	Windham	Searsburg
201475451	Vermont	1	Bennington	Somerset
201475451	Vermont	1	Bennington	Dover
201475451	Vermont	1	Bennington	Searsburg
201475318	Vermont	1	Windham	Wilmington
201475298	Vermont	1	Windham	Dover
201475298	Vermont	1	Windham	Wilmington
201475434	Vermont	1	Windham	Dover
201475434	Vermont	1	Windham	Wilmington
201475330	Vermont	1	Windham	Somerset
201475323	Vermont	1	Windham	Somerset
201475339	Vermont	1	Windham	Wilmington
201475453	Vermont	1	Windham	Somerset
201475453	Vermont	1	Windham	Searsburg
201475453	Vermont	1	Bennington	Somerset
201475453	Vermont	1	Bennington	Searsburg
201475367	Vermont	1	Windham	Dover
201475367	Vermont	1	Windham	Wilmington
201475422	Vermont	1	Windham	Dover
201475422	Vermont	1	Windham	Wilmington
201475366	Vermont	1	Windham	Somerset
201475366	Vermont	1	Windham	Searsburg
201475366	Vermont	1	Bennington	Somerset
201475366	Vermont	1	Bennington	Searsburg
201475435	Vermont	1	Windham	Wilmington
201475364	Vermont	1	Windham	Somerset
201475563	Vermont	1	Windham	Somerset
201475563	Vermont	1	Windham	Searsburg
201475563	Vermont	1	Bennington	Somerset
201475563	Vermont	1	Bennington	Searsburg
201475375	Vermont	1	Bennington	Glastenbury
201475513	Vermont	1	Windham	Somerset
201475513	Vermont	1	Windham	Searsburg
201475513	Vermont	1	Bennington	Somerset
201475513	Vermont	1	Bennington	Searsburg
201475462	Vermont	1	Bennington	Glastenbury
201475445	Vermont	1	Windham	Dover
201475445	Vermont	1	Windham	Wilmington
201475452	Vermont	1	Windham	Somerset
201475452	Vermont	1	Windham	Dover
201475452	Vermont	1	Windham	Searsburg
201475452	Vermont	1	Windham	Wilmington
201475452	Vermont	1	Bennington	Somerset
201475452	Vermont	1	Bennington	Dover
201475452	Vermont	1	Bennington	Searsburg
201475452	Vermont	1	Bennington	Wilmington
201475564	Vermont	1	Windham	Wilmington
201475442	Vermont	1	Windham	Wilmington
201475446	Vermont	1	Windham	Wilmington
201475486	Vermont	1	Windham	Wilmington
201475441	Vermont	1	Windham	Wilmington
201475487	Vermont	1	Windham	Wilmington
201475578	Vermont	1	Windham	Wilmington
201475473	Vermont	1	Windham	Wilmington
201475579	Vermont	1	Windham	Wilmington
201475514	Vermont	1	Windham	Dover
201475514	Vermont	1	Windham	Wilmington
201475514	Vermont	1	Windham	Marlboro
201475514	Vermont	2	Windham	Dover
201475514	Vermont	2	Windham	Wilmington
201475514	Vermont	2	Windham	Marlboro
201475454	Vermont	1	Bennington	Searsburg
201475455	Vermont	1	Bennington	Searsburg
201475622	Vermont	1	Bennington	Searsburg
201475490	Vermont	1	Windham	Searsburg
201475490	Vermont	1	Windham	Wilmington
201475490	Vermont	1	Bennington	Searsburg
201475490	Vermont	1	Bennington	Wilmington
201475512	Vermont	1	Windham	Glastenbury
201475512	Vermont	1	Windham	Somerset
201475512	Vermont	1	Windham	Searsburg
201475512	Vermont	1	Bennington	Glastenbury
201475512	Vermont	1	Bennington	Somerset
201475512	Vermont	1	Bennington	Searsburg
201475585	Vermont	1	Windham	Wilmington
201475615	Vermont	1	Windham	Wilmington
201475615	Vermont	1	Windham	Marlboro
201475615	Vermont	2	Windham	Wilmington
201475615	Vermont	2	Windham	Marlboro
201475650	Vermont	1	Windham	Glastenbury
201475650	Vermont	1	Windham	Somerset
201475650	Vermont	1	Windham	Woodford
201475650	Vermont	1	Windham	Searsburg
201475650	Vermont	1	Bennington	Glastenbury
201475650	Vermont	1	Bennington	Somerset
201475650	Vermont	1	Bennington	Woodford
201475650	Vermont	1	Bennington	Searsburg
201475618	Vermont	1	Windham	Somerset
201475618	Vermont	1	Windham	Searsburg
201475618	Vermont	1	Bennington	Somerset
201475618	Vermont	1	Bennington	Searsburg
201475666	Vermont	1	Bennington	Searsburg
201475764	Vermont	1	Windham	Wilmington
201475709	Vermont	1	Bennington	Glastenbury
201475709	Vermont	1	Bennington	Woodford
201475589	Vermont	1	Windham	Wilmington
201475844	Vermont	1	Windham	Wilmington
201475655	Vermont	1	Bennington	Searsburg
201475621	Vermont	1	Windham	Wilmington
201475629	Vermont	1	Bennington	Searsburg
201475692	Vermont	1	Bennington	Searsburg
201475721	Vermont	1	Bennington	Glastenbury
201475721	Vermont	1	Bennington	Woodford
201475721	Vermont	1	Bennington	Searsburg
201475825	Vermont	1	Windham	Wilmington
201475651	Vermont	1	Windham	Wilmington
201475651	Vermont	1	Windham	Marlboro
201475651	Vermont	2	Windham	Wilmington
